CTY_CODE,CTY_NAME,I_ENDUSE,I_ENDUSE_LDESC,GEN_VAL_MO,CON_VAL_MO,AIR_WGT_MO,CNT_WGT_MO,VES_WGT_MO,I_ENDUSE,time
7880,MADAGASCAR,00010,COCOA BEANS,235452,235452,0,226589,226589,00010,2020-04
2XXX,CENTRAL AMERICA,00010,COCOA BEANS,3429811,3429811,0,1198678,1198678,00010,2020-04
3XXX,SOUTH AMERICA,00010,COCOA BEANS,11434478,11434478,3355,4286501,4286501,00010,2020-04
5330,INDIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
5600,INDONESIA,00010,COCOA BEANS,1347624,1347624,0,209000,209000,00010,2020-05
5650,PHILIPPINES,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
6040,PAPUA NEW GUINEA,00010,COCOA BEANS,668100,668100,0,259080,259080,00010,2020-05
2489,GRENADA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
3010,COLOMBIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
3070,VENEZUELA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
3310,ECUADOR,00010,COCOA BEANS,12109193,12109193,3605,4578770,4578770,00010,2020-05
3330,PERU,00010,COCOA BEANS,446598,446598,1975,152602,152602,00010,2020-05
3350,BOLIVIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
3510,BRAZIL,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
4210,NETHERLANDS,00010,COCOA BEANS,442891,442891,0,78626,78626,00010,2020-05
4279,FRANCE,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
6863,FIJI,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
7420,CAMEROON,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
7480,COTE D'IVOIRE,00010,COCOA BEANS,24169100,24169100,0,9327146,9327146,00010,2020-05
7490,GHANA,00010,COCOA BEANS,8251659,8251659,0,5598909,5598909,00010,2020-05
7530,NIGERIA,00010,COCOA BEANS,5976115,5976115,0,2422060,2422060,00010,2020-05
7630,CONGO,00010,COCOA BEANS,1915896,1915896,0,660624,660624,00010,2020-05
7660,DEMOCRATIC REPUBLIC OF THE CONGO,00010,COCOA BEANS,439146,439146,0,152101,152101,00010,2020-05
7780,UGANDA,00010,COCOA BEANS,103500,103500,0,23368,23368,00010,2020-05
4419,SWITZERLAND,00010,COCOA BEANS,13228,13228,0,1659,1659,00010,2020-05
-,TOTAL FOR ALL COUNTRIES,00010,COCOA BEANS,64053380,64053380,5580,26508036,26508516,00010,2020-05
0003,EUROPEAN UNION,00010,COCOA BEANS,442891,442891,0,78626,78626,00010,2020-05
1XXX,NORTH AMERICA,00010,COCOA BEANS,64902,64902,0,0,0,00010,2020-05
4XXX,EUROPE,00010,COCOA BEANS,456119,456119,0,80285,80285,00010,2020-05
7XXX,AFRICA,00010,COCOA BEANS,41042683,41042683,0,18310156,18310156,00010,2020-05
0014,PACIFIC RIM COUNTRIES,00010,COCOA BEANS,2015724,2015724,0,468080,468080,00010,2020-05
5XXX,ASIA,00010,COCOA BEANS,1347624,1347624,0,209000,209000,00010,2020-05
0017,CAFTA-DR,00010,COCOA BEANS,7006101,7006101,0,2578751,2579231,00010,2020-05
6XXX,AUSTRALIA AND OCEANIA,00010,COCOA BEANS,668100,668100,0,259080,259080,00010,2020-05
0020,USMCA (NAFTA),00010,COCOA BEANS,64902,64902,0,0,0,00010,2020-05
0021,TWENTY LATIN AMERICAN REPUBLICS,00010,COCOA BEANS,20456528,20456528,5580,7634547,7635027,00010,2020-05
0022,OECD,00010,COCOA BEANS,521021,521021,0,80285,80285,00010,2020-05
0023,NATO,00010,COCOA BEANS,442891,442891,0,78626,78626,00010,2020-05
0024,LAFTA,00010,COCOA BEANS,12620693,12620693,5580,4731372,4731372,00010,2020-05
0025,EURO AREA,00010,COCOA BEANS,442891,442891,0,78626,78626,00010,2020-05
0026,APEC,00010,COCOA BEANS,2527224,2527224,1975,620682,620682,00010,2020-05
0027,ASEAN,00010,COCOA BEANS,1347624,1347624,0,209000,209000,00010,2020-05
0028,CACM,00010,COCOA BEANS,77562,77562,0,18319,18799,00010,2020-05
2010,MEXICO,00010,COCOA BEANS,64902,64902,0,0,0,00010,2020-05
2050,GUATEMALA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-05
2080,BELIZE,00010,COCOA BEANS,82326,82326,0,14968,14968,00010,2020-05
2110,EL SALVADOR,00010,COCOA BEANS,6864,6864,0,2156,2156,00010,2020-05
2190,NICARAGUA,00010,COCOA BEANS,67986,67986,0,16163,16163,00010,2020-05
2230,COSTA RICA,00010,COCOA BEANS,2712,2712,0,0,480,00010,2020-05
2450,HAITI,00010,COCOA BEANS,829734,829734,0,324424,324424,00010,2020-05
2470,DOMINICAN REPUBLIC,00010,COCOA BEANS,6928539,6928539,0,2560432,2560432,00010,2020-05
7830,TANZANIA,00010,COCOA BEANS,65270,65270,0,13196,13196,00010,2020-05
7880,MADAGASCAR,00010,COCOA BEANS,121997,121997,0,112752,112752,00010,2020-05
2XXX,CENTRAL AMERICA,00010,COCOA BEANS,7918161,7918161,0,2918143,2918623,00010,2020-05
3XXX,SOUTH AMERICA,00010,COCOA BEANS,12555791,12555791,5580,4731372,4731372,00010,2020-05
5330,INDIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
5600,INDONESIA,00010,COCOA BEANS,32400,32400,0,12192,12192,00010,2020-06
5650,PHILIPPINES,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
6040,PAPUA NEW GUINEA,00010,COCOA BEANS,1154775,1154775,0,457200,457200,00010,2020-06
2489,GRENADA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
3010,COLOMBIA,00010,COCOA BEANS,131105,131105,0,50500,50500,00010,2020-06
3070,VENEZUELA,00010,COCOA BEANS,74901,74901,0,64516,64516,00010,2020-06
3310,ECUADOR,00010,COCOA BEANS,18237614,18237614,1404,7029343,7029343,00010,2020-06
3330,PERU,00010,COCOA BEANS,1768682,1768682,0,580816,580816,00010,2020-06
